implementation,ticket_id,run_index,step,latency_ms
openai_structured,T012,3,classification,913.5194590780884
openai_structured,T012,3,draft,2189.7591250017285
openai_structured,T012,3,facts,2189.07054211013
openai_structured,T012,4,classification,934.5060000196099
openai_structured,T012,4,draft,2586.0378339421004
openai_structured,T012,4,facts,2356.1202501878142
openai_structured,T012,5,classification,844.0547080244869
openai_structured,T012,5,draft,1999.789916910231
openai_structured,T012,5,facts,1940.6937919557095
openai_json,T001,1,classification,1024.5339581742883
openai_json,T001,1,draft,2904.126334004104
openai_json,T001,1,facts,2350.052542053163
openai_json,T001,2,classification,1600.4234170541167
openai_json,T001,2,draft,2724.6861669700593
openai_json,T001,2,facts,2968.4311668388546
openai_json,T001,3,classification,1091.5997079573572
openai_json,T001,3,draft,2969.044042052701
openai_json,T001,3,facts,3042.2225838992745
openai_json,T001,4,classification,1597.9212089441717
openai_json,T001,4,draft,3013.528791954741
openai_json,T001,4,facts,3167.470999993384
openai_json,T001,5,classification,1019.6171670686454
openai_json,T001,5,draft,2781.0848329681903
openai_json,T001,5,facts,2457.385125104338
openai_json,T002,1,classification,1107.6909999828786
openai_json,T002,1,draft,2484.3166670762002
openai_json,T002,1,facts,2534.6538750454783
openai_json,T002,2,classification,1018.7840829603374
openai_json,T002,2,draft,3607.9232080373913
openai_json,T002,2,facts,2963.253916008398
openai_json,T002,3,classification,1004.6544170472771
openai_json,T002,3,draft,3078.774916008115
openai_json,T002,3,facts,3072.7270001079887
openai_json,T002,4,classification,1216.7864171788096
openai_json,T002,4,draft,3376.86016689986
openai_json,T002,4,facts,2970.2391661703587
openai_json,T002,5,classification,1433.8722499087453
openai_json,T002,5,draft,3102.0340831018984
openai_json,T002,5,facts,3039.9827091023326
openai_json,T003,1,classification,1471.4607920031995
openai_json,T003,1,draft,2550.766916014254
openai_json,T003,1,facts,2316.553207812831
openai_json,T003,2,classification,968.252417165786
openai_json,T003,2,draft,2820.3702091705054
openai_json,T003,2,facts,3030.515917111188
openai_json,T003,3,classification,1367.5237090792507
openai_json,T003,3,draft,2114.5359580405056
openai_json,T003,3,facts,3320.897917030379
openai_json,T003,4,classification,918.5635419562459
openai_json,T003,4,draft,2458.1605000421405
openai_json,T003,4,facts,2763.8550421688706
openai_json,T003,5,classification,916.8535419739783
openai_json,T003,5,draft,2586.468458874151
openai_json,T003,5,facts,2566.839125007391
openai_json,T004,1,classification,1040.8427910879254
openai_json,T004,1,draft,2754.4942921958864
openai_json,T004,1,facts,3119.7467918973416
openai_json,T004,2,classification,1237.5255420338362
openai_json,T004,2,draft,2355.0491670612246
openai_json,T004,2,facts,2970.077957957983
openai_json,T004,3,classification,1917.009917087853
openai_json,T004,3,draft,3087.316542165354
openai_json,T004,3,facts,2521.0193328093737
openai_json,T004,4,classification,1890.9074999392033
